,C,F,KKR,MSFT
C,0.000127465958677,5.85822442575e-05,5.23557797601e-05,2.38967737427e-05
F,5.85822442575e-05,0.000137961563756,5.45978394724e-05,1.2403606882e-05
KKR,5.23557797601e-05,5.45978394724e-05,0.000177552253512,4.00137125944e-05
MSFT,2.38967737427e-05,1.2403606882e-05,4.00137125944e-05,6.8093707163e-05
